timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
318956,1177,5,5,False
319111,1178,5,5,False
319411,1179,0,0,True
319556,1180,5,5,False
319856,1181,2,2,True
320079,1182,5,5,False
320379,1183,1,1,True
320642,1184,5,5,False
320903,1185,5,5,False
321083,1186,5,5,False
321243,1187,5,5,False
321483,1188,5,5,False
321609,1189,5,5,False
321702,1190,5,5,False
322002,1191,1,1,True
322232,1192,5,5,False
322532,1193,4,4,True
322832,1194,4,4,True
323062,1195,5,5,False
323267,1196,5,5,False
323528,1197,5,5,False
323782,1198,5,5,False
324035,1199,5,5,False
324207,1200,5,5,False
324507,1201,4,4,True
324807,1202,2,2,True
324968,1203,5,5,False
325032,1204,5,5,False
325332,1205,1,1,True
325503,1206,5,5,False
325784,1207,5,5,False
325995,1208,5,5,False
326156,1209,5,5,False
326304,1210,5,5,False
326604,1211,3,3,True
326741,1212,5,5,False
326974,1213,5,5,False
327274,1214,4,4,True
327574,1215,4,4,True
327785,1216,5,5,False
327970,1217,5,5,False
328270,1218,1,1,True
328570,1219,4,4,True
328870,1220,4,4,True
329113,1221,5,5,False
329364,1222,5,5,False
329479,1223,5,5,False
329686,1224,5,5,False
329838,1225,5,5,False
330017,1226,5,5,False
330317,1227,3,3,True
330385,1228,5,5,False
330685,1229,4,4,True
330985,1230,0,0,True
331285,1231,4,4,True
331585,1232,4,4,True
331813,1233,5,5,False
332043,1234,5,5,False
332343,1235,4,4,True
332643,1236,2,2,True
332943,1237,4,4,True
333215,1238,5,5,False
333515,1239,3,3,True
333815,1240,4,4,True
334115,1241,3,3,True
334304,1242,5,5,False
334604,1243,0,0,True
334904,1244,4,4,True
335204,1245,4,4,True
335504,1246,1,1,True
335762,1247,5,5,False
336050,1248,5,5,False
336282,1249,5,5,False
336435,1250,5,5,False
336694,1251,5,5,False
336952,1252,5,5,False
337155,1253,5,5,False
337455,1254,4,4,True
337755,1255,4,4,True
338011,1256,5,5,False
338311,1257,4,4,True
338517,1258,5,5,False
338817,1259,4,4,True
338923,1260,5,5,False
339223,1261,3,3,True
339523,1262,4,4,True
339732,1263,5,5,False
339943,1264,5,5,False
340106,1265,5,5,False
340406,1266,1,1,True
340582,1267,5,5,False
340815,1268,5,5,False
341115,1269,3,3,True
341415,1270,3,3,True
341627,1271,5,5,False
341752,1272,5,5,False
341968,1273,5,5,False
342268,1274,2,2,True
342568,1275,2,2,True
342868,1276,4,4,True
343110,1277,5,5,False
343410,1278,1,1,True
343710,1279,4,4,True
344010,1280,3,3,True
344169,1281,5,5,False
344363,1282,5,5,False
344663,1283,1,1,True
344963,1284,3,3,True
345263,1285,3,3,True
345476,1286,5,5,False
345776,1287,2,2,True
345982,1288,5,5,False
346223,1289,5,5,False
346422,1290,5,5,False
346722,1291,3,3,True
347022,1292,4,4,True
347322,1293,4,4,True
347622,1294,4,4,True
347859,1295,5,5,False
348057,1296,5,5,False
348352,1297,5,5,False
348652,1298,4,4,True
348889,1299,5,5,False
349189,1300,3,3,True
349489,1301,2,2,True
349728,1302,5,5,False
350021,1303,5,5,False
350321,1304,4,4,True
350621,1305,4,4,True
350921,1306,4,4,True
351103,1307,5,5,False
351377,1308,5,5,False
351677,1309,4,4,True
351867,1310,5,5,False
352167,1311,4,4,True
352467,1312,3,3,True
352572,1313,5,5,False
352774,1314,5,5,False
353031,1315,5,5,False
353331,1316,3,3,True
353631,1317,2,2,True
353931,1318,1,1,True
354231,1319,4,4,True
354490,1320,5,5,False
354790,1321,2,2,True
