episode,los_id,los_dist,los_qdr
3987,"((1, 11), (3, 12), (10, 12), (14, 18), (3, 9))","(np.float64(0.11704421776924488), np.float64(0.14364247950106337), np.float64(0.13520690856600256), np.float64(0.13578840627419037), np.float64(0.09099394181038914))","(np.float64(324.4547407682102), np.float64(305.61391898891503), np.float64(21.514040002920474), np.float64(89.02747878080979), np.float64(75.40823401776014))"
3988,"((3, 4), (3, 9), (4, 5), (4, 9), (2, 17), (10, 15), (13, 19), (13, 16), (15, 17), (0, 12), (0, 13))","(np.float64(0.09247640348731855), np.float64(0.1280415457379545), np.float64(0.11294704725100276), np.float64(0.09868887383651342), np.float64(0.14253520955803073), np.float64(0.03870204103008345), np.float64(0.10644262780654984), np.float64(0.11515445245951522), np.float64(0.1327718671860483), np.float64(0.11592042182977796), np.float64(0.12190203347677606))","(np.float64(160.61242303535101), np.float64(210.6595099851794), np.float64(144.8998140224611), np.float64(256.57639704011183), np.float64(28.340358350527055), np.float64(359.36364123734137), np.float64(190.1210768275229), np.float64(125.36802302067674), np.float64(228.34384276158488), np.float64(282.5099990257167), np.float64(31.202511608772102))"
3990,"((4, 5), (4, 9))","(np.float64(0.10088714005369581), np.float64(0.07931040121238686))","(np.float64(58.279633772775185), np.float64(246.62060250602192))"
3991,"((5, 8), (4, 13))","(np.float64(0.12054449932316341), np.float64(0.141149875198187))","(np.float64(206.28937175618043), np.float64(262.38907827019716))"
3993,"((7, 14),)","(np.float64(0.14873318142592154),)","(np.float64(270.93639927173),)"
3994,"((2, 4), (8, 9))","(np.float64(0.14545845973734617), np.float64(0.14663404704058897))","(np.float64(13.112563814870818), np.float64(284.5175982894014))"
3995,"((2, 3), (6, 13), (9, 14))","(np.float64(0.10585686680345695), np.float64(0.03361074703724315), np.float64(0.12057924663443428))","(np.float64(317.6792626415751), np.float64(240.26808970793994), np.float64(252.77700200093742))"
3996,"((1, 17), (2, 9), (5, 14), (11, 16), (5, 10))","(np.float64(0.11187821910502051), np.float64(0.050065462489125676), np.float64(0.05966036633602214), np.float64(0.0724443228086854), np.float64(0.1317593254198373))","(np.float64(105.17376641230253), np.float64(120.58570135995615), np.float64(105.60917153606171), np.float64(301.04252937466293), np.float64(306.7368738821705))"
3998,"((0, 9),)","(np.float64(0.026209445774607924),)","(np.float64(100.84861593784997),)"
3999,"((4, 7), (8, 11), (10, 16), (14, 15))","(np.float64(0.14874715650535034), np.float64(0.11826483921908752), np.float64(0.07322784192278382), np.float64(0.07660834500426346))","(np.float64(225.4450497726139), np.float64(295.4780602535917), np.float64(111.7383523850157), np.float64(67.14225424612407))"
4000,"((14, 18), (0, 14))","(np.float64(0.0261904397651564), np.float64(0.08043130475019655))","(np.float64(239.727872810891), np.float64(315.767914800495))"
4001,"((0, 8), (4, 19), (9, 19), (15, 19), (4, 10))","(np.float64(0.06237698873327689), np.float64(0.11866657963288084), np.float64(0.1048885972746381), np.float64(0.03789949741434193), np.float64(0.14653288028484437))","(np.float64(199.15367851663143), np.float64(122.45307297415904), np.float64(177.48828049932453), np.float64(324.4738167219991), np.float64(30.001569929120116))"
4002,"((12, 13), (15, 18), (2, 16))","(np.float64(0.06936354527198318), np.float64(0.11573823610146265), np.float64(0.10204237545859222))","(np.float64(352.90607550472885), np.float64(62.79855222102533), np.float64(51.51809320690987))"
4003,"((1, 4), (1, 18), (5, 15), (13, 16), (0, 6), (0, 13))","(np.float64(0.1135374346588997), np.float64(0.11239554893888792), np.float64(0.13571539044626177), np.float64(0.14788039226808022), np.float64(0.04016079303887552), np.float64(0.08771613803620525))","(np.float64(210.94022743459598), np.float64(342.264658211947), np.float64(169.46114791244415), np.float64(138.33428226994286), np.float64(67.8921809741998), np.float64(287.93433673397226))"
4004,"((1, 12), (2, 7), (15, 16))","(np.float64(0.06834243781520444), np.float64(0.11855195440144964), np.float64(0.05880967027964493))","(np.float64(295.9797858042426), np.float64(110.29862236961374), np.float64(19.343823701413026))"
4005,"((5, 12), (14, 16))","(np.float64(0.05397802231113251), np.float64(0.1403345758069617))","(np.float64(146.35835471077633), np.float64(337.820269277333))"
4007,"((7, 16), (1, 12))","(np.float64(0.14857741762657758), np.float64(0.13002673576131285))","(np.float64(289.30421186098613), np.float64(302.6769519489244))"
4008,"((3, 12), (4, 16), (12, 18))","(np.float64(0.11369220651346071), np.float64(0.11350963682640319), np.float64(0.1399056962646093))","(np.float64(334.1772614689299), np.float64(1.889193225463671), np.float64(71.22069338378421))"
4009,"((3, 9), (3, 17), (9, 17))","(np.float64(0.1266659328914851), np.float64(0.010645039862680634), np.float64(0.12457497190143516))","(np.float64(141.95474453266368), np.float64(259.7957431661206), np.float64(340.8194569475459))"
4011,"((6, 14), (6, 16), (5, 17))","(np.float64(0.12996031043041073), np.float64(0.10873631224048215), np.float64(0.13028415353856457))","(np.float64(15.4399159497796), np.float64(164.46966291235483), np.float64(71.73114081255224))"
4012,"((14, 16), (10, 15), (12, 15))","(np.float64(0.13448382272945023), np.float64(0.1401787009946491), np.float64(0.13996819522338358))","(np.float64(357.48176320316674), np.float64(41.56649345068245), np.float64(127.06844507760772))"
4014,"((3, 9), (6, 18), (0, 18))","(np.float64(0.146877973986478), np.float64(0.06189263875497315), np.float64(0.13914338782465274))","(np.float64(169.7508498812016), np.float64(16.99674201158944), np.float64(280.46278944728556))"
4015,"((0, 14), (1, 6), (2, 8), (10, 12), (7, 18))","(np.float64(0.13496340776684684), np.float64(0.04076524870144354), np.float64(0.13091481658391846), np.float64(0.14732216721150984), np.float64(0.14074345297546295))","(np.float64(224.7137086385124), np.float64(317.27283686635445), np.float64(48.85900121171161), np.float64(93.64571782794047), np.float64(78.8392398153667))"
4016,"((3, 6), (8, 13))","(np.float64(0.14837318790969997), np.float64(0.06429942988646595))","(np.float64(206.20723224223175), np.float64(92.74650387092026))"
4019,"((6, 10), (7, 11))","(np.float64(0.07205999639568994), np.float64(0.07996818718864683))","(np.float64(88.8149228701475), np.float64(146.91531926915667))"
4020,"((0, 5), (6, 14), (7, 17))","(np.float64(0.1283283915441589), np.float64(0.035633413794095306), np.float64(0.11370339365763352))","(np.float64(209.67016209452308), np.float64(102.51077957928335), np.float64(70.29129081290806))"
4021,"((3, 5),)","(np.float64(0.06045540255780192),)","(np.float64(31.65028601040072),)"
4022,"((7, 14), (8, 17), (11, 12))","(np.float64(0.10940831719762749), np.float64(0.06575364031242124), np.float64(0.14921589061876556))","(np.float64(102.52873131154712), np.float64(151.06938050111592), np.float64(325.8315924032501))"
4023,"((5, 16), (5, 10), (4, 16))","(np.float64(0.14491367399354904), np.float64(0.08356541598825938), np.float64(0.09878771223056326))","(np.float64(340.1047843598204), np.float64(330.40905005184135), np.float64(215.26627322895507))"
4024,"((7, 16), (7, 17), (1, 11), (1, 16))","(np.float64(0.10920652914931286), np.float64(0.042217322386309535), np.float64(0.12879193820801488), np.float64(0.1087674999965148))","(np.float64(266.6097394241296), np.float64(157.56778369437802), np.float64(307.45914344660537), np.float64(316.091542756005))"
4025,"((4, 7), (4, 17), (7, 17), (10, 11))","(np.float64(0.12702592116233483), np.float64(0.010663905867328922), np.float64(0.14110901961891564), np.float64(0.13150437555458702))","(np.float64(357.98016300477707), np.float64(8.545745369267499), np.float64(211.76019252884177), np.float64(215.04621754851752))"
