timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,TimeLimit.truncated
1536244,30726,-7.7011382859359525,0,1.5402276571871907,0,True
1536294,30727,-8.708909388502429,0,1.5417818777004855,1,True
1536344,30728,-9.722357790883374,0,1.5444715581766753,2,True
1536394,30729,-8.746372539394459,0,1.5492745078788914,1,True
1536444,30730,-7.742010167465896,0,1.5484020334931794,0,True
1536494,30731,-7.8536410015339,0,1.5707282003067804,0,True
1536544,30732,-7.727372212568746,0,1.5454744425137492,0,True
1536594,30733,-12.777794807118717,0,1.5555589614237422,5,True
1536644,30734,-7.695588997316977,0,1.5391177994633956,0,True
1536694,30735,-7.707952531277165,0,1.5415905062554323,0,True
1536744,30736,-7.703629254535739,0,1.540725850907148,0,True
1536794,30737,-15.771253147417493,0,1.5542506294834986,8,True
1536844,30738,-12.885467342739183,0,1.5770934685478377,5,True
1536894,30739,-11.755849122999813,0,1.5511698245999634,4,True
1536944,30740,-7.828624697482209,0,1.5657249394964419,0,True
1536994,30741,-8.829578759563077,0,1.5659157519126155,1,True
1537044,30742,-12.773633662755975,0,1.554726732551196,5,True
1537094,30743,-8.69731271847574,0,1.5394625436951477,1,True
1537144,30744,-8.714043446037557,0,1.5428086892075112,1,True
1537194,30745,-7.725381124509131,0,1.5450762249018262,0,True
1537244,30746,-8.734339578917249,0,1.5468679157834495,1,True
1537294,30747,-7.784426692005456,0,1.556885338401091,0,True
1537344,30748,-7.752501341643787,0,1.5505002683287574,0,True
1537394,30749,-8.714901900311904,0,1.5429803800623814,1,True
1537444,30750,-9.784177063309025,0,1.5568354126618047,2,True
1537494,30751,-11.831635844001143,0,1.5663271688002285,4,True
1537544,30752,-7.761154714848589,0,1.5522309429697176,0,True
1537594,30753,-8.760420169277763,0,1.5520840338555524,1,True
1537644,30754,-7.7741654408880345,0,1.5548330881776065,0,True
1537694,30755,-7.838402479606165,0,1.5676804959212332,0,True
1537744,30756,-7.722996649809556,0,1.5445993299619116,0,True
1537794,30757,-7.7119924177553045,0,1.542398483551061,0,True
1537844,30758,-8.754281022424339,0,1.550856204484867,1,True
1537894,30759,-7.782354372039622,0,1.556470874407925,0,True
1537944,30760,-8.723611581989735,0,1.544722316397947,1,True
1537994,30761,-11.764744259091573,0,1.5529488518183145,4,True
1538044,30762,-9.72873740660283,0,1.5457474813205647,2,True
