timesteps,episodes,total_reward,waypoints_completed,TimeLimit.truncated
198011,680,2,2,True
198311,681,1,1,True
198611,682,3,3,True
198911,683,2,2,True
199108,684,5,5,False
199346,685,5,5,False
199646,686,0,0,True
199945,687,5,5,False
200152,688,5,5,False
200394,689,5,5,False
200694,690,0,0,True
200994,691,2,2,True
201294,692,2,2,True
201594,693,2,2,True
201894,694,2,2,True
202194,695,2,2,True
202494,696,3,3,True
202794,697,3,3,True
203094,698,2,2,True
203394,699,1,1,True
203694,700,2,2,True
203909,701,5,5,False
204009,702,5,5,False
204309,703,1,1,True
204609,704,1,1,True
204909,705,1,1,True
205109,706,5,5,False
205409,707,3,3,True
205530,708,5,5,False
205830,709,2,2,True
206130,710,4,4,True
206430,711,1,1,True
206730,712,3,3,True
207030,713,1,1,True
207330,714,4,4,True
207630,715,3,3,True
207930,716,4,4,True
208230,717,2,2,True
208530,718,3,3,True
208830,719,1,1,True
209130,720,1,1,True
209430,721,4,4,True
209543,722,5,5,False
209843,723,2,2,True
210143,724,1,1,True
210443,725,2,2,True
210743,726,4,4,True
210989,727,5,5,False
211289,728,1,1,True
211589,729,4,4,True
211889,730,1,1,True
212189,731,4,4,True
212395,732,5,5,False
212695,733,3,3,True
212941,734,5,5,False
213241,735,3,3,True
213541,736,2,2,True
213841,737,4,4,True
214141,738,4,4,True
214273,739,5,5,False
214573,740,1,1,True
214873,741,2,2,True
215173,742,2,2,True
215473,743,3,3,True
215773,744,1,1,True
216073,745,1,1,True
216373,746,0,0,True
216673,747,0,0,True
216973,748,1,1,True
217273,749,2,2,True
217372,750,5,5,False
217672,751,1,1,True
217972,752,4,4,True
218194,753,5,5,False
218494,754,2,2,True
218794,755,2,2,True
219072,756,5,5,False
219372,757,1,1,True
219672,758,1,1,True
219972,759,4,4,True
220272,760,3,3,True
220572,761,4,4,True
220865,762,5,5,False
221165,763,0,0,True
221465,764,3,3,True
221765,765,2,2,True
222065,766,1,1,True
222365,767,3,3,True
222665,768,2,2,True
222965,769,1,1,True
223265,770,1,1,True
223565,771,4,4,True
223865,772,1,1,True
224005,773,5,5,False
224305,774,2,2,True
224605,775,2,2,True
224845,776,5,5,False
225145,777,0,0,True
225445,778,2,2,True
225745,779,2,2,True
225907,780,5,5,False
226207,781,1,1,True
226507,782,3,3,True
226807,783,2,2,True
227107,784,4,4,True
227407,785,1,1,True
227707,786,1,1,True
228007,787,4,4,True
228136,788,5,5,False
228436,789,1,1,True
228736,790,3,3,True
228895,791,5,5,False
229195,792,2,2,True
229495,793,2,2,True
229632,794,5,5,False
229932,795,2,2,True
230232,796,1,1,True
230532,797,4,4,True
230832,798,2,2,True
231132,799,2,2,True
231432,800,1,1,True
231732,801,0,0,True
232032,802,3,3,True
232332,803,2,2,True
232632,804,4,4,True
232921,805,5,5,False
233096,806,5,5,False
233358,807,5,5,False
233658,808,1,1,True
233958,809,0,0,True
234258,810,0,0,True
234558,811,4,4,True
234858,812,1,1,True
235158,813,4,4,True
235458,814,4,4,True
235758,815,1,1,True
236058,816,3,3,True
236216,817,5,5,False
236516,818,2,2,True
236816,819,2,2,True
237116,820,1,1,True
237416,821,1,1,True
237716,822,0,0,True
238016,823,0,0,True
238087,824,5,5,False
238387,825,4,4,True
238687,826,0,0,True
238987,827,2,2,True
239287,828,4,4,True
239557,829,5,5,False
239857,830,1,1,True
240157,831,1,1,True
240457,832,4,4,True
240757,833,1,1,True
241049,834,5,5,False
241349,835,1,1,True
241649,836,1,1,True
241930,837,5,5,False
242126,838,5,5,False
242426,839,2,2,True
242708,840,5,5,False
242759,841,5,5,False
243059,842,0,0,True
243359,843,2,2,True
243659,844,1,1,True
243935,845,5,5,False
244235,846,2,2,True
244535,847,3,3,True
244660,848,5,5,False
244830,849,5,5,False
245130,850,3,3,True
245430,851,3,3,True
245730,852,2,2,True
245942,853,5,5,False
246242,854,1,1,True
246542,855,2,2,True
246725,856,5,5,False
247025,857,4,4,True
247325,858,2,2,True
247625,859,2,2,True
247925,860,4,4,True
248225,861,1,1,True
248525,862,1,1,True
248825,863,1,1,True
249052,864,5,5,False
249352,865,3,3,True
249652,866,3,3,True
249952,867,2,2,True
250252,868,0,0,True
250552,869,3,3,True
250852,870,2,2,True
251152,871,2,2,True
251452,872,1,1,True
251752,873,2,2,True
252052,874,4,4,True
252352,875,1,1,True
252625,876,5,5,False
252925,877,2,2,True
253225,878,1,1,True
253501,879,5,5,False
253659,880,5,5,False
253826,881,5,5,False
254126,882,2,2,True
254417,883,5,5,False
254717,884,4,4,True
255017,885,4,4,True
255317,886,3,3,True
