timesteps,episodes,total_reward,faf_reach,average_drift,total_intrusions,average_vinput,average_hdginput,TimeLimit.truncated
39200,112,-113.03516906811981,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0.],1.6005024152588545,1,-0.0004804472980332525,0.014940200328137322,True
39550,113,-110.5469598128284,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.5506708544689776,1,-0.00044240801745665324,0.018356696594292805,True
39900,114,-132.04350310231803,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.800621472890257,3,-0.0003130508074576126,0.037827056623589164,True
40250,115,-136.31982623550567,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],1.925997517650081,1,-0.0003392504094299963,0.03509037103169881,True
40600,116,-120.64837228051057,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],1.6735481754358656,2,-0.0004490218642510219,0.03518080331192735,True
40950,117,-125.745688495358,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7749384070765424,1,-0.0006015629617004478,0.05840048582080731,True
41300,118,-126.18475124289705,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7740678748985292,1,-0.0007196434083196934,0.06842775334364207,True
41650,119,-126.88357676734118,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7269082395334454,3,-0.0007952818049279584,0.06667096690725623,True
42000,120,-116.55412426172104,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.6079160608817293,2,-0.001005878693735559,0.042090793812676566,True
42350,121,-129.6631517048417,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.830902167212024,1,-0.001088135430610605,0.04435055384992011,True
42700,122,-132.07366860919086,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8581952658455838,1,-0.0009725911008962478,0.022826411089822005,True
43050,123,-133.06811393841735,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7581159134059623,5,-0.0008493245328795569,0.014559991766584271,True
43400,124,-122.01854589462314,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.7431220842089026,0,-0.0007203107713736278,0.004714916204350458,True
43750,125,-125.73085556050235,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.8032979365786044,0,-0.0005997658132744255,-0.0039044262661132962,True
44100,126,-135.2764223613391,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.8753774623048436,2,-0.00043809409452431143,-0.00509544137113357,True
